tokenizer,domain,trial,length_bucket,chars,latency_ms,tokens,bytes
hf,technical,4,1025-4096,1411,0.4104999970877543,395,1414
hf,technical,4,1025-4096,1337,0.411000000895001,411,1337
hf,technical,4,1025-4096,1734,0.44750000233761966,431,1734
hf,technical,5,1025-4096,1755,0.49789999320637435,496,1755
hf,technical,5,1025-4096,1939,0.5441000103019178,548,1939
hf,technical,5,1025-4096,1353,0.38219999987632036,373,1353
hf,technical,5,1025-4096,1455,0.5951999919489026,448,1455
hf,technical,5,1025-4096,1647,0.45649999810848385,426,1647
hf,technical,5,1025-4096,1411,0.42640000174287707,395,1414
hf,technical,5,1025-4096,1337,0.39399998786393553,411,1337
hf,technical,5,1025-4096,1734,0.446999998530373,431,1734
hf,web,1,65-256,111,0.05329999839887023,49,113
hf,web,1,65-256,100,0.047900000936351717,44,100
hf,web,1,65-256,88,0.04130000888835639,39,88
hf,web,1,65-256,169,0.07170000753831118,71,169
hf,web,1,65-256,146,0.06230000872164965,65,146
hf,web,1,65-256,112,0.04460000491235405,42,112
hf,web,1,65-256,124,0.052700008382089436,52,124
hf,web,1,65-256,109,0.041399995097890496,44,109
hf,web,2,65-256,111,0.0746000005165115,49,113
hf,web,2,65-256,100,0.04959999932907522,44,100
hf,web,2,65-256,88,0.041799998143687844,39,88
hf,web,2,65-256,169,0.07480000203941017,71,169
hf,web,2,65-256,146,0.05780000356025994,65,146
hf,web,2,65-256,112,0.04680000711232424,42,112
hf,web,2,65-256,124,0.05300001066643745,52,124
hf,web,2,65-256,109,0.044500004150904715,44,109
hf,web,3,65-256,111,0.06349998875521123,49,113
hf,web,3,65-256,100,0.047900000936351717,44,100
hf,web,3,65-256,88,0.04030000127386302,39,88
hf,web,3,65-256,169,0.0675999908708036,71,169
hf,web,3,65-256,146,0.06180000491440296,65,146
hf,web,3,65-256,112,0.04539999645203352,42,112
hf,web,3,65-256,124,0.04769999941345304,52,124
hf,web,3,65-256,109,0.03779999678954482,44,109
hf,web,4,65-256,111,0.059999991208314896,49,113
hf,web,4,65-256,100,0.04650000482797623,44,100
hf,web,4,65-256,88,0.03919999289792031,39,88
hf,web,4,65-256,169,0.06520000169984996,71,169
hf,web,4,65-256,146,0.059300000430084765,65,146
hf,web,4,65-256,112,0.03880000440403819,42,112
hf,web,4,65-256,124,0.044800006435252726,52,124
hf,web,4,65-256,109,0.038399986806325614,44,109
hf,web,5,65-256,111,0.05879999662283808,49,113
hf,web,5,65-256,100,0.042800005758181214,44,100
hf,web,5,65-256,88,0.03840000135824084,39,88
hf,web,5,65-256,169,0.06500000017695129,71,169
hf,web,5,65-256,146,0.055500000598840415,65,146
hf,web,5,65-256,112,0.03860000288113952,42,112
hf,web,5,65-256,124,0.04739999712910503,52,124
hf,web,5,65-256,109,0.035900011425837874,44,109
sentencepiece,code,1,4097+,434809,279.0430000022752,167333,434809
sentencepiece,code,1,4097+,53641,27.51650000573136,26730,53641
sentencepiece,code,1,4097+,46183,21.776499997940846,21951,46183
sentencepiece,code,1,4097+,28444,13.734899999690242,14241,28444
sentencepiece,code,1,4097+,90212,46.91750000347383,44034,90212
sentencepiece,code,1,4097+,168977,106.32270001224242,74501,168979
sentencepiece,code,1,4097+,6574,3.0658000032417476,3153,6574
sentencepiece,code,2,4097+,434809,266.9558000052348,167333,434809
sentencepiece,code,2,4097+,53641,26.767699993797578,26730,53641
sentencepiece,code,2,4097+,46183,20.93899999454152,21951,46183
sentencepiece,code,2,4097+,28444,14.807700004894286,14241,28444
sentencepiece,code,2,4097+,90212,46.195800008717924,44034,90212
sentencepiece,code,2,4097+,168977,95.01209999143612,74501,168979
sentencepiece,code,2,4097+,6574,2.6514000055612996,3153,6574
sentencepiece,code,3,4097+,434809,276.77750001021195,167333,434809
sentencepiece,code,3,4097+,53641,30.028699999093078,26730,53641
sentencepiece,code,3,4097+,46183,24.016399998799898,21951,46183
sentencepiece,code,3,4097+,28444,13.284300002851523,14241,28444
sentencepiece,code,3,4097+,90212,51.219100001617335,44034,90212
sentencepiece,code,3,4097+,168977,95.06389999296516,74501,168979
sentencepiece,code,3,4097+,6574,2.6108000020030886,3153,6574
sentencepiece,code,4,4097+,434809,290.6285999924876,167333,434809
sentencepiece,code,4,4097+,53641,28.6298999999417,26730,53641
sentencepiece,code,4,4097+,46183,22.673300001770258,21951,46183
sentencepiece,code,4,4097+,28444,13.071100009256043,14241,28444
sentencepiece,code,4,4097+,90212,42.96019999310374,44034,90212
sentencepiece,code,4,4097+,168977,85.97470000677276,74501,168979
sentencepiece,code,4,4097+,6574,2.5640999956522137,3153,6574
sentencepiece,code,5,4097+,434809,330.1907000131905,167333,434809
sentencepiece,code,5,4097+,53641,25.810000006458722,26730,53641
sentencepiece,code,5,4097+,46183,21.80930000031367,21951,46183
sentencepiece,code,5,4097+,28444,13.431700004730374,14241,28444
sentencepiece,code,5,4097+,90212,56.39520000841003,44034,90212
sentencepiece,code,5,4097+,168977,93.8004999916302,74501,168979
sentencepiece,code,5,4097+,6574,2.9005999967921525,3153,6574
sentencepiece,english,1,257-1024,389,0.15180000627879053,187,389
sentencepiece,english,1,1025-4096,1556,0.6485000048996881,791,1566
sentencepiece,english,1,257-1024,371,0.14740000187885016,199,399
sentencepiece,english,1,257-1024,828,0.32130000181496143,414,838
sentencepiece,english,1,1025-4096,1220,0.457499991171062,651,1232
sentencepiece,english,1,1025-4096,1355,0.5110999918542802,709,1365
sentencepiece,english,1,257-1024,777,0.7379000016953796,411,787
sentencepiece,english,1,257-1024,543,0.21889999334234744,295,555
sentencepiece,english,2,257-1024,389,0.3040000010514632,187,389
sentencepiece,english,2,1025-4096,1556,0.715599991963245,791,1566
sentencepiece,english,2,257-1024,371,0.1382000045850873,199,399
sentencepiece,english,2,257-1024,828,0.30839999089948833,414,838
sentencepiece,english,2,1025-4096,1220,0.752799998736009,651,1232
sentencepiece,english,2,1025-4096,1355,0.5253000126685947,709,1365
sentencepiece,english,2,257-1024,777,0.2905000001192093,411,787
sentencepiece,english,2,257-1024,543,0.21520000882446766,295,555
sentencepiece,english,3,257-1024,389,0.18060000729747117,187,389
sentencepiece,english,3,1025-4096,1556,0.5849000008311123,791,1566
sentencepiece,english,3,257-1024,371,0.14200000441633165,199,399
sentencepiece,english,3,257-1024,828,0.2973000082420185,414,838
sentencepiece,english,3,1025-4096,1220,0.5585000035353005,651,1232
sentencepiece,english,3,1025-4096,1355,0.504599986015819,709,1365
sentencepiece,english,3,257-1024,777,0.2936999953817576,411,787
sentencepiece,english,3,257-1024,543,0.20900000527035445,295,555
sentencepiece,english,4,257-1024,389,0.1728999923216179,187,389
sentencepiece,english,4,1025-4096,1556,0.5850000015925616,791,1566
sentencepiece,english,4,257-1024,371,0.14030000602360815,199,399
sentencepiece,english,4,257-1024,828,0.30080000578891486,414,838
sentencepiece,english,4,1025-4096,1220,0.4681999998865649,651,1232
sentencepiece,english,4,1025-4096,1355,0.49900000158231705,709,1365
sentencepiece,english,4,257-1024,777,0.29039999935775995,411,787
sentencepiece,english,4,257-1024,543,0.20570000924635679,295,555
sentencepiece,english,5,257-1024,389,0.28360000578686595,187,389
sentencepiece,english,5,1025-4096,1556,0.8724000072106719,791,1566
sentencepiece,english,5,257-1024,371,0.17040000238921493,199,399
sentencepiece,english,5,257-1024,828,0.3063000040128827,414,838
sentencepiece,english,5,1025-4096,1220,0.45900000259280205,651,1232
sentencepiece,english,5,1025-4096,1355,0.5184000037843361,709,1365
sentencepiece,english,5,257-1024,777,0.29150000773370266,411,787
sentencepiece,english,5,257-1024,543,0.20809999841731042,295,555
sentencepiece,technical,1,1025-4096,1755,0.6608999974559993,921,1755
sentencepiece,technical,1,1025-4096,1939,1.0929999989457428,1051,1939
sentencepiece,technical,1,1025-4096,1353,0.5285999941406772,676,1353
sentencepiece,technical,1,1025-4096,1455,0.7007999956840649,804,1455
sentencepiece,technical,1,1025-4096,1647,0.8363999950233847,837,1647
sentencepiece,technical,1,1025-4096,1411,0.5691999976988882,734,1414
sentencepiece,technical,1,1025-4096,1337,0.5369999998947605,745,1337
sentencepiece,technical,1,1025-4096,1734,0.7314999966183677,945,1734
sentencepiece,technical,2,1025-4096,1755,0.7103999960236251,921,1755
sentencepiece,technical,2,1025-4096,1939,0.7476000027963892,1051,1939
